SP500,AAPL,AMZN,FB,GOOG,MSFT
2357.28,144.39,899.9493,141.58,833.95,65.67
2357.1899,144.32,899.96,141.56,833.74,65.65
2356.6201,144.32,900.0352,141.555,833.86,65.655
2356.9299,144.26,899.6239999999999,141.47,833.8,65.65
2357.03,144.3056,899.98,141.47,833.87,65.6666
2357.8501,144.25,900.11,141.47,833.95,65.67
2358.02,144.34,900.1,141.5,834.18,65.7
2357.9299,144.4271,900.45,141.56,834.18,65.72
2358.8101,144.4,900.44,141.5499,834.3996,65.71
2358.49,144.47,900.53,141.5507,834.59,65.73
2358.3701,144.4399,900.2,141.495,834.21,65.71
2358.6001,144.39,900.26,141.4934,834.0,65.69
2358.3999,144.45,900.515,141.535,834.53,65.69
